policy_id,country,regulator,payer_name,plan_tier,currency,annual_coverage_limit_local,deductible_local,copay_percent,network,outpatient_coverage,inpatient_coverage,pharmacy_coverage,maternity_waiting_period_months,preexisting_waiting_period_months,cross_border_care,phi_encrypted_at_rest,phi_encrypted_in_transit,access_controls_role_based,audit_logs_enabled,breach_notification_window_days,data_retention_years,minimum_necessary_policy,business_associate_agreements,eclaims_standard,notes
POL-36FFE2669F,United Arab Emirates,DOH/DHA/MOHAP,Daman / Thiqa,Premium,AED,1127784,2387,0,Basic,Yes,Yes,Yes,9,24,Yes,Yes,Yes,Yes,Yes,96,7,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-0B2B9487D1,Kuwait,MOH,Bupa Arabia,Basic,KWD,16479,18,15,Exclusive,Yes,Yes,Yes,12,6,Yes,Yes,Yes,Yes,Yes,96,10,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-CC3FBB5DDA,Kuwait,MOH,Bupa Arabia,Standard,KWD,35499,4,30,Exclusive,Yes,Yes,Yes,0,0,Yes,Yes,Yes,Yes,Yes,96,10,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-41A12F9A84,Kuwait,MOH,Bupa Arabia,Enhanced,KWD,19278,154,0,Basic,Yes,Yes,Yes,9,24,No,Yes,Yes,Yes,Yes,72,5,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-CB2D97B1E0,Kuwait,MOH,Bupa Arabia,Premium,KWD,18617,87,15,Basic,Yes,Yes,No,6,6,No,Yes,Yes,Yes,Yes,72,7,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-CC309314C2,Kuwait,MOH,Tawuniya,Basic,KWD,9142,21,10,Wide,Yes,Yes,No,0,12,Yes,Yes,Yes,Yes,Yes,96,7,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-C4C749831A,Kuwait,MOH,Tawuniya,Standard,KWD,15548,39,30,Exclusive,Yes,Yes,No,12,24,Yes,Yes,Yes,Yes,Yes,48,10,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-23CE9F730B,Kuwait,MOH,Tawuniya,Enhanced,KWD,8141,148,20,Exclusive,Yes,Yes,Yes,0,12,No,Yes,Yes,Yes,Yes,48,5,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-DB214A3CAA,Kuwait,MOH,Tawuniya,Premium,KWD,27239,31,30,Exclusive,Yes,Yes,Yes,0,24,No,Yes,Yes,Yes,Yes,48,5,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-B419E9127A,Kuwait,MOH,MEDGULF,Basic,KWD,31695,163,30,Exclusive,Yes,Yes,Yes,6,0,Yes,Yes,Yes,Yes,Yes,96,10,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-043A14E258,Kuwait,MOH,MEDGULF,Standard,KWD,16162,37,25,Exclusive,Yes,Yes,Yes,6,24,No,Yes,Yes,Yes,Yes,72,10,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-71AB09852D,Kuwait,MOH,MEDGULF,Enhanced,KWD,35356,27,30,Basic,Yes,Yes,Yes,12,0,Yes,Yes,Yes,Yes,Yes,48,10,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-85512887D2,Kuwait,MOH,MEDGULF,Premium,KWD,24298,60,20,Basic,Yes,Yes,Yes,12,12,Yes,Yes,Yes,Yes,Yes,48,7,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-BC84A3CE32,Kuwait,MOH,Daman / Thiqa,Basic,KWD,11433,61,0,Wide,Yes,Yes,Yes,9,12,Yes,Yes,Yes,Yes,Yes,72,7,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-980CEB9199,Kuwait,MOH,Daman / Thiqa,Standard,KWD,29322,16,30,Basic,Yes,Yes,Yes,9,6,Yes,Yes,Yes,Yes,Yes,96,5,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-F6F25ED07F,Kuwait,MOH,Daman / Thiqa,Enhanced,KWD,35838,60,0,Exclusive,Yes,Yes,No,9,24,Yes,Yes,Yes,Yes,Yes,72,10,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-9F81635E2F,Kuwait,MOH,Daman / Thiqa,Premium,KWD,35654,178,30,Basic,Yes,Yes,No,6,0,No,Yes,Yes,Yes,Yes,48,5,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-4FB782E105,Qatar,MOPH,Bupa Arabia,Basic,QAR,1579470,184,20,Basic,Yes,Yes,No,6,0,No,Yes,Yes,Yes,Yes,48,5,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-16A03F48E1,Qatar,MOPH,Bupa Arabia,Standard,QAR,244314,1133,30,Wide,Yes,Yes,Yes,0,0,No,Yes,Yes,Yes,Yes,72,10,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-17BA3931E2,Qatar,MOPH,Bupa Arabia,Enhanced,QAR,528839,1550,0,Exclusive,Yes,Yes,No,6,24,No,Yes,Yes,Yes,Yes,72,10,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-607A32BEE0,Qatar,MOPH,Bupa Arabia,Premium,QAR,471414,2340,0,Basic,Yes,Yes,Yes,9,0,Yes,Yes,Yes,Yes,Yes,72,5,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-D42752369D,Qatar,MOPH,Tawuniya,Basic,QAR,1807192,2216,0,Exclusive,Yes,Yes,Yes,0,0,No,Yes,Yes,Yes,Yes,96,7,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-EA58BCAC5D,Qatar,MOPH,Tawuniya,Standard,QAR,1011669,2927,0,Basic,Yes,Yes,Yes,9,6,Yes,Yes,Yes,Yes,Yes,96,7,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-87093683A1,Qatar,MOPH,Tawuniya,Enhanced,QAR,230011,2315,25,Exclusive,Yes,Yes,Yes,12,0,Yes,Yes,Yes,Yes,Yes,96,7,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-0D3CFC6208,Qatar,MOPH,Tawuniya,Premium,QAR,1634150,2576,30,Wide,Yes,Yes,No,0,24,Yes,Yes,Yes,Yes,Yes,48,5,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-37611AFE33,Qatar,MOPH,MEDGULF,Basic,QAR,969797,2179,0,Wide,Yes,Yes,Yes,12,24,Yes,Yes,Yes,Yes,Yes,48,5,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-02ECDFCFF2,Qatar,MOPH,MEDGULF,Standard,QAR,692895,730,20,Exclusive,Yes,Yes,Yes,9,0,No,Yes,Yes,Yes,Yes,72,10,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-F6C1F43B34,Qatar,MOPH,MEDGULF,Enhanced,QAR,359243,2600,0,Basic,Yes,Yes,Yes,0,0,Yes,Yes,Yes,Yes,Yes,96,7,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-7AB42E869E,Qatar,MOPH,MEDGULF,Premium,QAR,1640091,2726,0,Exclusive,Yes,Yes,No,9,6,No,Yes,Yes,Yes,Yes,48,10,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-742F49940B,Qatar,MOPH,Daman / Thiqa,Basic,QAR,1049000,2973,20,Exclusive,Yes,Yes,No,6,12,Yes,Yes,Yes,Yes,Yes,48,10,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-D9CBB2E0FC,Qatar,MOPH,Daman / Thiqa,Standard,QAR,1758849,34,0,Wide,Yes,Yes,No,12,24,Yes,Yes,Yes,Yes,Yes,72,5,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-E938A8F042,Qatar,MOPH,Daman / Thiqa,Enhanced,QAR,1140763,2782,15,Basic,Yes,Yes,Yes,0,24,Yes,Yes,Yes,Yes,Yes,96,7,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-1337F5C9E1,Qatar,MOPH,Daman / Thiqa,Premium,QAR,1146688,129,20,Exclusive,Yes,Yes,Yes,6,0,No,Yes,Yes,Yes,Yes,72,10,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
